city,date,pm2_5,pm10,no,no2,nh3,co,so2,o3
Delhi,01-01-2015,313.22,607.98,69.16,36.39,33.85,15.2,9.25,41.68
Delhi,02-01-2015,186.18,269.55,62.09,32.87,31.83,9.54,6.65,29.97
Delhi,03-01-2015,87.18,131.9,25.73,30.31,69.55,10.61,2.65,19.71
Delhi,04-01-2015,151.84,241.84,25.01,36.91,130.36,11.54,4.63,25.36
Delhi,05-01-2015,146.6,219.13,14.01,34.92,122.88,9.2,3.33,23.2
Delhi,06-01-2015,149.58,252.1,17.21,37.84,134.97,9.44,3.66,26.83
Delhi,07-01-2015,217.87,376.51,26.99,40.15,134.82,9.78,5.82,28.96
Delhi,08-01-2015,229.9,360.95,23.34,43.16,138.13,11.01,3.31,30.51
Delhi,09-01-2015,201.66,397.43,19.18,38.56,140.6,11.09,3.48,32.94
Delhi,10-01-2015,221.02,361.74,24.79,46.39,134.06,9.7,5.91,34.12
Delhi,11-01-2015,205.41,393.2,28.46,47.29,131.1,10.98,5.54,50.37
Delhi,12-01-2015,212.41,345.63,24.77,44.71,148.51,9.3,5.17,40.08
Delhi,13-01-2015,197.61,301.04,34.28,45.88,145.48,11.52,5.95,39.54
Delhi,14-01-2015,164.39,227.38,20.78,41.17,166.7,10.32,4.85,42.05
Delhi,15-01-2015,166.19,283.93,47.91,56.7,124.64,10.81,6.94,43.25
Delhi,16-01-2015,174.98,309.99,42.33,49.41,136.4,11.46,4.69,34.7
Delhi,17-01-2015,196.46,356.2,42.18,53.04,125.49,8.87,5.13,25.77
Delhi,18-01-2015,201.51,359.75,45.51,53.77,120.45,8.99,5.43,23.22
Delhi,19-01-2015,183.35,305.13,27.32,39.88,148.49,9.02,4.21,25.34
Delhi,20-01-2015,165.63,257.04,16.47,34.23,146.31,8.03,4.11,22.69
Delhi,21-01-2015,159.54,235.27,12.27,22.56,63.23,9.01,7.05,18.56
Delhi,22-01-2015,143.68,183.89,14.75,21.82,39.65,10.58,8.64,6.94
Delhi,23-01-2015,128.73,136.07,11.99,17.35,39.98,8.74,6.77,10.91
Delhi,24-01-2015,164.98,200.02,10.38,15.77,38.77,9.39,8.89,9.35
Delhi,25-01-2015,148.59,203.81,11.82,20.83,45.62,11.44,5.96,16.65
Delhi,26-01-2015,129.34,137.86,12.46,25.66,60.96,10.19,6.78,18.18
