city,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,25-11-2020,2616.88,2.18,70.6,13.59,38.62,364.61,411.73,28.63
Delhi,26-11-2020,2803.8,7.15,74.71,0.89,33.85,327.49,400.17,12.16
Delhi,27-11-2020,1695.63,4.47,67.17,2.5,32.42,114.3,149.46,11.65
Delhi,28-11-2020,1789.09,0.05,58.95,28.25,25.03,150.44,183.04,13.93
Delhi,29-11-2020,2456.67,0.17,71.97,20.21,23.84,201.74,238.09,20.77
Delhi,30-11-2020,7263.18,126.96,98.71,0,94.41,519.9,641.21,81.06
Delhi,01-12-2020,7049.56,106.39,87.74,0,41.96,557.39,699.05,20.01
Delhi,02-12-2020,7156.37,73.31,115.16,0,40.53,708.4,848.38,16.72
Delhi,03-12-2020,2483.37,0.43,76.08,14.84,27.9,223.05,264.92,16.97
Delhi,04-12-2020,10360.72,110.87,143.95,0,73.43,968.36,1176.27,38
Delhi,05-12-2020,2403.26,0,52.78,81.54,33.38,453.42,489.45,12.29
Delhi,06-12-2020,1842.5,0,47.98,57.22,23.37,347.82,376.94,8.87
Delhi,07-12-2020,2376.56,0,54.84,57.22,37.19,453.19,500.12,4.31
Delhi,08-12-2020,6515.5,79.57,98.71,0,40.05,638.4,746.48,16.47
Delhi,09-12-2020,11428.83,169.87,154.91,0,94.41,958.53,1145.06,83.09
Delhi,10-12-2020,8224.49,139.48,116.53,0,129.7,624.8,804.39,85.12
Delhi,11-12-2020,5928.04,109.97,78.83,0,47.21,391.6,531.81,19.76
Delhi,12-12-2020,1789.09,0.32,57.58,14.48,23.6,274.62,302.66,10.89
Delhi,13-12-2020,6088.26,92.09,87.74,0,28.61,467.27,577.21,11.4
Delhi,14-12-2020,1295.09,0.06,45.24,27.54,21.46,74.34,97.5,24.07
Delhi,15-12-2020,5874.63,102.82,71.97,0,37.19,424.35,549.4,15.83
Delhi,16-12-2020,1895.9,0.03,61.69,34.69,28.37,153.12,190.66,14.69
Delhi,17-12-2020,1121.52,0,36.33,55.79,25.51,94.84,114.71,20.27
Delhi,18-12-2020,1321.79,0.01,46.61,45.06,28.37,107.23,129.1,24.83
Delhi,19-12-2020,1535.42,0.08,56.21,27.54,27.9,116.92,143.64,26.35
Delhi,20-12-2020,1335.14,0.02,45.24,35.76,20.98,113.81,134.61,23.05
Delhi,21-12-2020,1375.2,0,39.76,46.49,19.31,149.37,169.67,19
Delhi,22-12-2020,8117.68,180.6,65.8,0,61.04,678.02,827.86,36.48
Delhi,23-12-2020,13565.06,257.49,123.38,0,53.41,1099.38,1275.65,31.41
Delhi,24-12-2020,8331.3,128.75,119.27,0,51.98,750.67,923.42,23.31
